Homolog, Bit Score
1, 71
1, 114
1, 59
1, 23
1, 78
1, 0
1, 28
1, 45
1, 21
1, 21
1, 20
1, 42
1, 0
1, 129
1, 0
1, 50
1, 119
1, 0
1, 0
1, 0
1, 0
1, 94
1, 47
1, 43
1, 0
1, 91
1, 29
1, 86
1, 22
1, 91
1, 0
1, 239
1, 0
1, 328
1, 0
1, 335
1, 24
1, 286
1, 21
1, 198
1, 25
1, 156
1, 0
1, 315
1, 30
1, 230
1, 0
1, 331
1, 23
1, 211
1, 22
1, 247
1, 23
1, 262
1, 27
1, 222
1, 0
1, 221
1, 20
1, 19
1, 104
1, 230
1, 94
1, 24
1, 27
1, 30
1, 0
1, 32
1, 100
1, 29
1, 165
1, 31
1, 28
1, 39
1, 39
1, 57
1, 0
1, 23
1, 35
1, 44
1, 40
1, 79
1, 40
1, 97
1, 25
1, 19
1, 39
1, 0
1, 46
1, 100
1, 24
1, 185
1, 27
1, 32
1, 40
1, 44
1, 37
1, 20
1, 45
1, 29
1, 149
1, 48
1, 0
1, 39
1, 97
1, 27
1, 18
1, 32
1, 16
1, 35
1, 100
1, 27
1, 185
1, 30
1, 32
1, 30
1, 45
1, 26
1, 21
1, 45
1, 42
1, 187
1, 50
1, 0
1, 35
1, 25
1, 305
1, 312
1, 27
1, 288
1, 306
1, 0
1, 18
1, 90
1, 0
1, 207
1, 28
1, 0
1, 0
1, 0
1, 29
1, 262
1, 0
1, 57
1, 0
1, 0
1, 28
1, 18
1, 19
1, 54
1, 0
1, 19
1, 36
1, 0
1, 0
1, 19
1, 18
1, 65
1, 51
1, 267
1, 98
1, 60
1, 72
1, 0
1, 93
1, 0
1, 24
1, 235
1, 0
1, 47
1, 152
1, 28
1, 69
1, 0
1, 21
1, 0
1, 0
1, 105
1, 30
1, 0
1, 0
1, 20
1, 18
1, 53
1, 43
1, 286
1, 24
1, 69
1, 84
1, 69
1, 27
1, 52
1, 25
1, 268
1, 29
1, 55
1, 110
1, 0
1, 28
1, 20
1, 30
1, 52
1, 0
1, 120
1, 44
1, 0
1, 0
1, 65
1, 131
1, 64
1, 52
1, 258
1, 22
1, 23
1, 22
1, 37
1, 34
1, 0
1, 22
1, 250
1, 54
1, 73
1, 28
1, 33
1, 64
1, 21
1, 22
1, 0
1, 0
1, 0
1, 39
1, 119
1, 22
1, 97
1, 124
1, 72
1, 51
1, 287
1, 102
1, 70
1, 78
1, 72
1, 92
1, 66
1, 27
1, 269
1, 0
1, 54
1, 131
1, 0
1, 23
1, 18
1, 30
1, 47
1, 0
1, 107
1, 23
1, 118
1, 0
1, 50
1, 122
1, 27
1, 49
1, 268
1, 18
1, 16
1, 23
1, 0
1, 99
1, 0
1, 27
1, 43
1, 0
1, 0
1, 53
1, 0
1, 0
1, 19
1, 0
1, 27
1, 0
1, 0
1, 0
1, 35
1, 0
1, 18
1, 0
1, 0
1, 15
1, 0
1, 0
1, 0
1, 0
1, 22
1, 0
1, 0
1, 29
1, 0
1, 0
1, 18
1, 20
1, 37
1, 44
1, 19
1, 0
1, 22
1, 26
1, 0
1, 0
1, 0
1, 50
1, 21
1, 53
1, 22
1, 25
1, 19
1, 0
1, 0
1, 48
1, 23
1, 43
1, 0
1, 0
1, 17
1, 0
1, 0
1, 42
1, 18
1, 0
1, 233
1, 0
1, 111
1, 37
1, 95
1, 74
1, 0
1, 119
1, 118
1, 101
1, 25
1, 0
1, 108
1, 106
1, 0
1, 73
1, 0
1, 120
1, 120
1, 101
1, 37
1, 27
1, 76
1, 0
1, 0
1, 31
1, 47
1, 75
1, 0
1, 645
1, 166
1, 67
1, 44
1, 42
1, 39
1, 25
1, 54
1, 85
1, 0
1, 450
1, 372
1, 66
1, 69
1, 0
1, 38
1, 0
1, 44
1, 63
1, 0
1, 611
1, 378
1, 65
1, 63
1, 53
1, 22
1, 0
1, 52
1, 88
1, 0
1, 139
1, 371
1, 70
1, 84
1, 25
1, 0
1, 0
1, 53
1, 0
1, 303
1, 0
1, 16
1, 0
1, 22
1, 17
1, 25
1, 63
1, 0
1, 0
1, 27
1, 22
1, 0
1, 36
1, 26
1, 18
1, 0
1, 81
1, 89
1, 0
1, 32
1, 20
1, 27
1, 0
1, 28
1, 16
1, 20
1, 55
1, 68
1, 88
1, 0
1, 18
1, 24
1, 0
1, 0
1, 36
1, 28
1, 0
1, 38
1, 72
1, 109
1, 0
1, 39
1, 32
1, 37
1, 73
1, 0
1, 26
1, 16
1, 32
1, 73
1, 76
1, 18
1, 20
1, 29
1, 34
1, 86
1, 68
1, 57
1, 49
1, 32
1, 64
1, 0
1, 62
1, 25
1, 45
1, 47
1, 39
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 105
1, 32
1, 0
1, 44
1, 21
1, 46
1, 30
1, 0
1, 35
1, 0
1, 26
1, 0
1, 37
1, 26
1, 30
1, 0
1, 0
1, 30
1, 18
1, 43
1, 25
1, 0
1, 18
1, 0
1, 35
1, 0
1, 34
1, 58
1, 19
1, 0
1, 0
1, 0
1, 0
1, 37
1, 55
1, 30
1, 0
1, 0
1, 0
1, 0
1, 0
1, 26
1, 0
1, 36
1, 54
1, 0
1, 0
1, 46
1, 35
1, 26
1, 0
1, 34
1, 0
1, 0
1, 0
1, 0
1, 0
1, 28
1, 0
1, 25
1, 90
1, 378
1, 21
1, 0
1, 32
1, 0
1, 23
1, 46
1, 0
1, 40
1, 384
1, 0
1, 57
1, 0
1, 42
1, 49
1, 81
1, 0
1, 63
1, 81
1, 49
1, 24
1, 86
1, 23
1, 116
1, 0
1, 155
1, 138
1, 146
1, 54
1, 112
1, 47
1, 109
1, 47
1, 63
1, 52
1, 109
1, 53
1, 109
1, 50
1, 109
1, 46
1, 109
1, 47
1, 106
1, 73
1, 282
1, 91
1, 72
1, 62
1, 244
1, 73
1, 181
1, 60
1, 387
1, 97
1, 60
1, 68
1, 248
1, 62
1, 232
1, 64
1, 302
1, 64
1, 70
1, 57
1, 504
1, 50
1, 507
1, 71
1, 359
1, 90
1, 37
1, 113
1, 263
1, 67
